idx,text,label,style,scenario_type,has_codeword,codeword,text_masked,vessel,call_sign,mmsi,location,weather,pob,nature,injury
412,"This is the MV Ocean Explorer, call sign ABC123, at position 37 degrees 45.5 minutes North, 122 degrees 30.2 minutes West. We report a situation of water ingress in the forward ballast tank. The crew is actively addressing the issue, and we are NOT in distress. We have taken measures to contain the ingress and do not require immediate assistance. Currently, there are 25 persons on board, and all are safe. Weather conditions are moderate, with wind at 15 knots and visibility at 5 nautical miles. We will continue to monitor the situation and provide updates as necessary.",Safety,formal,water_ingress,False,NONE,"This is the MV Ocean Explorer, call sign ABC123, at position 37 degrees 45.5 minutes North, 122 degrees 30.2 minutes West. We report a situation of water ingress in the forward ballast tank. The crew is actively addressing the issue, and we are NOT in distress. We have taken measures to contain the ingress and do not require immediate assistance. Currently, there are 25 persons on board, and all are safe. Weather conditions are moderate, with wind at 15 knots and visibility at 5 nautical miles. We will continue to monitor the situation and provide updates as necessary.",MV Ocean Explorer,ABC123,123456789,"37 degrees 45.5 minutes North, 122 degrees 30.2 minutes West","moderate, wind at 15 knots, visibility at 5 nautical miles",25,water ingress in forward ballast tank,none
413,"Hey there, this is the S.S. Adventure, just wanted to give a heads up. We've got some smoke coming from the galley, kinda thick, not sure what’s burning yet. Our position is 38 degrees, 45 minutes North, 73 degrees, 12 minutes West, uh, close to Smith Island. Weather's clear, light winds, but, yeah, it's getting a bit smoky in here. No injuries reported, everyone’s accounted for, I think. Just figured it’s best to let you know, in case we need a hand or something. Over.",Routine,informal,fire_smoke,False,NONE,"Hey there, this is the S.S. Adventure, just wanted to give a heads up. We've got some smoke coming from the galley, kinda thick, not sure what’s burning yet. Our position is 38 degrees, 45 minutes North, 73 degrees, 12 minutes West, uh, close to Smith Island. Weather's clear, light winds, but, yeah, it's getting a bit smoky in here. No injuries reported, everyone’s accounted for, I think. Just figured it’s best to let you know, in case we need a hand or something. Over.",S.S. Adventure,null,null,"38 degrees, 45 minutes North, 73 degrees, 12 minutes West","clear, light winds",8,smoke from the galley,none
414,"Uh, this is the, uh, fishing vessel Sea Star, uh, we’ve got a situation here. One of our crew, uh, fell overboard, I think it was, um, around, like, 15 minutes ago? We’re currently at, uh, 34 degrees 12 minutes north, uh, 76 degrees 45 minutes west. The sea's a bit choppy and, um, visibility’s not great. We’ve got, like, six people on board, and, um, yeah, we’re searching, but we might need some, uh, help here. Over.",Urgency,informal,person_overboard,False,NONE,"Uh, this is the, uh, fishing vessel Sea Star, uh, we’ve got a situation here. One of our crew, uh, fell overboard, I think it was, um, around, like, 15 minutes ago? We’re currently at, uh, 34 degrees 12 minutes north, uh, 76 degrees 45 minutes west. The sea's a bit choppy and, um, visibility’s not great. We’ve got, like, six people on board, and, um, yeah, we’re searching, but we might need some, uh, help here. Over.",Sea Star,null,null,"34 degrees 12 minutes north, 76 degrees 45 minutes west","choppy seas, low visibility",6,person overboard,null
415,"Uh, this is the vessel Sea Breeze, uh, we just had a, um, collision with, uh, the cargo ship, uh, Ocean Trader. We're currently at, uh, position 38 degrees, 23 minutes north, and, um, 73 degrees, 58 minutes west. It was during a, uh, emergency drill, you know, a test of our, um, safety protocols, and, uh, things went sideways. We’ve got some, uh, damage to our starboard side and, uh, water is, um, coming in. I think we’ve got about, uh, five people on board, and, uh, no serious injuries yet, but, um, we need help. Over.",Distress,informal,collision,False,NONE,"Uh, this is the vessel Sea Breeze, uh, we just had a, um, collision with, uh, the cargo ship, uh, Ocean Trader. We're currently at, uh, position 38 degrees, 23 minutes north, and, um, 73 degrees, 58 minutes west. It was during a, uh, emergency drill, you know, a test of our, um, safety protocols, and, uh, things went sideways. We’ve got some, uh, damage to our starboard side and, uh, water is, um, coming in. I think we’ve got about, uh, five people on board, and, uh, no serious injuries yet, but, um, we need help. Over.",Sea Breeze,null,null,"38 degrees, 23 minutes north, 73 degrees, 58 minutes west",null,5,collision,no serious injuries
416,"This is the fishing vessel Ocean Hunter, call sign ABC123. We are currently located at 37 degrees 52 minutes North, 122 degrees 30 minutes West. We report that we are experiencing water ingress in the engine room due to a compromised hull. All crew members are accounted for, totaling six persons on board. Weather is overcast with 15 knots winds from the northwest. We are attempting to mitigate the situation with pumps but require assistance if conditions worsen. Over.",Routine,formal,water_ingress,False,NONE,"This is the fishing vessel Ocean Hunter, call sign ABC123. We are currently located at 37 degrees 52 minutes North, 122 degrees 30 minutes West. We report that we are experiencing water ingress in the engine room due to a compromised hull. All crew members are accounted for, totaling six persons on board. Weather is overcast with 15 knots winds from the northwest. We are attempting to mitigate the situation with pumps but require assistance if conditions worsen. Over.",Ocean Hunter,ABC123,null,"37 degrees 52 minutes North, 122 degrees 30 minutes West","overcast, 15 knots winds from the northwest",6,water ingress in engine room,null
417,"This is the motor yacht Serenity, call sign N1234A, transmitting from position 35 degrees 12 minutes North, 75 degrees 30 minutes West. We are presently experiencing a fire in the galley with significant smoke affecting visibility. Weather conditions are clear, with calm seas. There are seven persons on board. Immediate assistance is requested as the fire is spreading. We are taking steps to extinguish the flames but require guidance on further actions. Over.",Urgency,formal,fire_smoke,False,NONE,"This is the motor yacht Serenity, call sign N1234A, transmitting from position 35 degrees 12 minutes North, 75 degrees 30 minutes West. We are presently experiencing a fire in the galley with significant smoke affecting visibility. Weather conditions are clear, with calm seas. There are seven persons on board. Immediate assistance is requested as the fire is spreading. We are taking steps to extinguish the flames but require guidance on further actions. Over.",Serenity,N1234A,null,"35 degrees 12 minutes North, 75 degrees 30 minutes West","clear, calm seas",7,fire in the galley,null
418,"This is the vessel Sea Hawk relaying a report from the fishing vessel Ocean Star. They have been involved in a collision approximately 5 nautical miles southeast of Point Break. The Ocean Star is currently at position 34.058 N, 118.467 W. Weather conditions are clear with a light breeze. They report one minor injury amongst their crew of six. The vessel is stable but has sustained damage to the starboard side and is taking on water. Assistance is requested in the area.",Safety,third_party,collision,False,NONE,"This is the vessel Sea Hawk relaying a report from the fishing vessel Ocean Star. They have been involved in a collision approximately 5 nautical miles southeast of Point Break. The Ocean Star is currently at position 34.058 N, 118.467 W. Weather conditions are clear with a light breeze. They report one minor injury amongst their crew of six. The vessel is stable but has sustained damage to the starboard side and is taking on water. Assistance is requested in the area.",Ocean Star,null,null,"34.058 N, 118.467 W",clear with a light breeze,6,collision,one minor injury
419,"MAYDAY, MAYDAY, MAYDAY. This is the fishing vessel Coral Star, call sign ABC1234, MMSI 123456789. We are adrift and require immediate tow assistance. Our position is 34 degrees 15 minutes North, 120 degrees 30 minutes West. Currently experiencing heavy seas and 30-knot winds. There are 5 persons on board, all safe but exhausted. We have lost power and cannot navigate. Requesting assistance from any nearby vessels. Over.",Distress,formal,tow_request,True,MAYDAY,"[SIGNAL], [SIGNAL], [SIGNAL]. This is the fishing vessel Coral Star, call sign ABC1234, MMSI 123456789. We are adrift and require immediate tow assistance. Our position is 34 degrees 15 minutes North, 120 degrees 30 minutes West. Currently experiencing heavy seas and 30-knot winds. There are 5 persons on board, all safe but exhausted. We have lost power and cannot navigate. Requesting assistance from any nearby vessels. Over.",Coral Star,ABC1234,123456789,"34 degrees 15 minutes North, 120 degrees 30 minutes West",heavy seas and 30-knot winds,5,adrift with loss of power,none
420,"MAYDAY, MAYDAY, MAYDAY! This is the fishing vessel Sea Breeze, uh, we're at, uh, 34 degrees 12 minutes north, 75 degrees 30 minutes west. We've got a medical issue here, uh, one crew member, he's, uh, having severe chest pains, not a good situation. Weather's calm, but, uh, we're not able to, like, move him safely without help. We are, um, three on board, and, uh, it's urgent. Please respond, over.",Distress,informal,medical_issue,True,MAYDAY,"[SIGNAL], [SIGNAL], [SIGNAL]! This is the fishing vessel Sea Breeze, uh, we're at, uh, 34 degrees 12 minutes north, 75 degrees 30 minutes west. We've got a medical issue here, uh, one crew member, he's, uh, having severe chest pains, not a good situation. Weather's calm, but, uh, we're not able to, like, move him safely without help. We are, um, three on board, and, uh, it's urgent. Please respond, over.",Sea Breeze,,,"34 degrees 12 minutes north, 75 degrees 30 minutes west",calm,3,medical issue,severe chest pains
421,"Attention all stations, this is the MV Ocean Explorer, call sign ABC123, MMSI 123456789. We are currently positioned at 34 degrees 12 minutes North, 75 degrees 45 minutes West. We are experiencing significant water ingress due to hull damage sustained in recent heavy weather. The vessel is taking on water at an increasing rate. We have five persons on board, and all are accounted for. The weather is worsening with 30-knot winds and two-meter swells. Requesting immediate assistance from nearby vessels and coast guard. Over.",Safety,formal,water_ingress,False,NONE,"Attention all stations, this is the MV Ocean Explorer, call sign ABC123, MMSI 123456789. We are currently positioned at 34 degrees 12 minutes North, 75 degrees 45 minutes West. We are experiencing significant water ingress due to hull damage sustained in recent heavy weather. The vessel is taking on water at an increasing rate. We have five persons on board, and all are accounted for. The weather is worsening with 30-knot winds and two-meter swells. Requesting immediate assistance from nearby vessels and coast guard. Over.",MV Ocean Explorer,ABC123,123456789,"34 degrees 12 minutes North, 75 degrees 45 minutes West","30-knot winds, two-meter swells",5,water ingress due to hull damage,none
422,"Uh, this is the MV Seawanderer, um, we’ve, kinda, run aground near, uh, Dolphin Cove, yeah, I’m sitting at about, uh, 34 degrees, 12 minutes north, and, um, 75 degrees, 30 minutes west. The weather’s clear but, uh, a bit choppy, you know? We’re okay, just, uh, waiting for high tide to help us out. There’s five of us on board, all fine, just, a little rattled. Can anyone, um, advise on, like, the best way to get unstuck? Over.",Routine,informal,grounding,False,NONE,"Uh, this is the MV Seawanderer, um, we’ve, kinda, run aground near, uh, Dolphin Cove, yeah, I’m sitting at about, uh, 34 degrees, 12 minutes north, and, um, 75 degrees, 30 minutes west. The weather’s clear but, uh, a bit choppy, you know? We’re okay, just, uh, waiting for high tide to help us out. There’s five of us on board, all fine, just, a little rattled. Can anyone, um, advise on, like, the best way to get unstuck? Over.",MV Seawanderer,WDB1234,123456789,"34 degrees, 12 minutes north, 75 degrees, 30 minutes west","clear, a bit choppy",5,grounding,none
423,"This is a relay from the fishing vessel Ocean Explorer. They report a person overboard, last seen at their position of 28 degrees 34 minutes North, 77 degrees 56 minutes West. The individual is wearing a bright yellow life jacket. Conditions are moderate, with a slight swell and visibility approximately three miles. The Ocean Explorer has initiated a search pattern, and nearby vessels are requested to assist. There are a total of five persons on board. The situation is urgent, and any assistance would be greatly appreciated.",Safety,third_party,person_overboard,False,NONE,"This is a relay from the fishing vessel Ocean Explorer. They report a person overboard, last seen at their position of 28 degrees 34 minutes North, 77 degrees 56 minutes West. The individual is wearing a bright yellow life jacket. Conditions are moderate, with a slight swell and visibility approximately three miles. The Ocean Explorer has initiated a search pattern, and nearby vessels are requested to assist. There are a total of five persons on board. The situation is urgent, and any assistance would be greatly appreciated.",Ocean Explorer,,,"28 degrees 34 minutes North, 77 degrees 56 minutes West","moderate with a slight swell, visibility three miles",5,person overboard,
424,"SECURITE, SECURITE, SECURITE. This is the fishing vessel Ocean Hunter, call sign ABC1234, MMSI 123456789. Position 45 degrees 30 minutes North, 123 degrees 45 minutes West. I report a navigational hazard consisting of partially submerged debris located approximately 2 nautical miles northwest of my current position. Weather conditions are overcast with visibility at 5 nautical miles and sea state moderate. All vessels transiting the area are advised to proceed with caution. Ocean Hunter, out.",Safety,formal,nav_hazard,True,SECURITE,"[SIGNAL], [SIGNAL], [SIGNAL]. This is the fishing vessel Ocean Hunter, call sign ABC1234, MMSI 123456789. Position 45 degrees 30 minutes North, 123 degrees 45 minutes West. I report a navigational hazard consisting of partially submerged debris located approximately 2 nautical miles northwest of my current position. Weather conditions are overcast with visibility at 5 nautical miles and sea state moderate. All vessels transiting the area are advised to proceed with caution. Ocean Hunter, out.",Ocean Hunter,ABC1234,123456789,"45 degrees 30 minutes North, 123 degrees 45 minutes West","overcast, visibility 5 nautical miles, moderate sea state",,navigational hazard,
425,"SECURITE, SECURITE, this is the fishing vessel Ocean Explorer, call sign ABC123. Uh, we’re currently at, um, 34 degrees 15 minutes north, 76 degrees 30 minutes west. Just a heads up, there's a, like, a submerged object—uh, could be a wreck or something—just a few miles ahead. Conditions are, uh, choppy out here, and visibility’s not great, around 2 miles. So yeah, just be careful if you're in the area. Over.",Safety,informal,nav_hazard,True,SECURITE,"[SIGNAL], [SIGNAL], this is the fishing vessel Ocean Explorer, call sign ABC123. Uh, we’re currently at, um, 34 degrees 15 minutes north, 76 degrees 30 minutes west. Just a heads up, there's a, like, a submerged object—uh, could be a wreck or something—just a few miles ahead. Conditions are, uh, choppy out here, and visibility’s not great, around 2 miles. So yeah, just be careful if you're in the area. Over.",Ocean Explorer,ABC123,,"34 degrees 15 minutes north, 76 degrees 30 minutes west","choppy seas, 2 miles visibility",,submerged object in navigation path,
426,"Uh, this is the fishing vessel, uh, Sea Breeze, uh, we’re, um, in a bit of a pickle here. Uh, MAYDAY! We’ve lost power, I repeat, lost power and, um, we’re drifting towards the rocks off, uh, Cape Point. Position, um, is 34 degrees 15 minutes north, 75 degrees 30 minutes west. We’ve got, uh, four people on board and, uh, it’s getting pretty rough out here, like, waves are, um, pushing us closer to the shore. We need a tow—like, ASAP. Over.",Distress,informal,tow_request,True,MAYDAY,"Uh, this is the fishing vessel, uh, Sea Breeze, uh, we’re, um, in a bit of a pickle here. Uh, [SIGNAL]! We’ve lost power, I repeat, lost power and, um, we’re drifting towards the rocks off, uh, Cape Point. Position, um, is 34 degrees 15 minutes north, 75 degrees 30 minutes west. We’ve got, uh, four people on board and, uh, it’s getting pretty rough out here, like, waves are, um, pushing us closer to the shore. We need a tow—like, ASAP. Over.",Sea Breeze,ABC1234,123456789,"34 degrees 15 minutes north, 75 degrees 30 minutes west",rough seas,4,lost power,none
427,"This is the fishing vessel Ocean Voyager, call sign ABC123. We are currently situated at latitude 36 degrees 12 minutes North, longitude 75 degrees 30 minutes West. We are experiencing clear skies with a light breeze. I wish to report a medical issue onboard. One crew member has sustained a deep laceration to the arm and requires immediate medical assistance. There are ten persons on board. We request guidance on the nearest medical facility and any further assistance you can provide.",Routine,formal,medical_issue,False,NONE,"This is the fishing vessel Ocean Voyager, call sign ABC123. We are currently situated at latitude 36 degrees 12 minutes North, longitude 75 degrees 30 minutes West. We are experiencing clear skies with a light breeze. I wish to report a medical issue onboard. One crew member has sustained a deep laceration to the arm and requires immediate medical assistance. There are ten persons on board. We request guidance on the nearest medical facility and any further assistance you can provide.",Ocean Voyager,ABC123,,"36 degrees 12 minutes North, 75 degrees 30 minutes West",clear skies with a light breeze,10,medical issue onboard,deep laceration to the arm
428,"This is the motor vessel Ocean Voyager, call sign 7JHK9, reporting a person overboard incident. We are currently at position 35 degrees 12 minutes north, 75 degrees 43 minutes west. Conditions are moderate with a slight swell and visibility of approximately 5 nautical miles. All crew members are accounted for, and we estimate that the individual entered the water approximately 10 minutes ago. We are deploying a lifebuoy and preparing to commence a search pattern in the immediate vicinity. Please advise any vessels in the area to keep a lookout for the missing person.",Routine,formal,person_overboard,False,NONE,"This is the motor vessel Ocean Voyager, call sign 7JHK9, reporting a person overboard incident. We are currently at position 35 degrees 12 minutes north, 75 degrees 43 minutes west. Conditions are moderate with a slight swell and visibility of approximately 5 nautical miles. All crew members are accounted for, and we estimate that the individual entered the water approximately 10 minutes ago. We are deploying a lifebuoy and preparing to commence a search pattern in the immediate vicinity. Please advise any vessels in the area to keep a lookout for the missing person.",Ocean Voyager,7JHK9,123456789,"35 degrees 12 minutes north, 75 degrees 43 minutes west","moderate conditions, slight swell, visibility 5 nautical miles",8,person overboard,none reported
429,"This is the vessel Ocean Explorer, call sign WXYZ123, presently at position 34 degrees 12 minutes North, 76 degrees 45 minutes West. We are experiencing severe water ingress due to a hull breach. The situation is critical with water levels rising rapidly, and we are currently attempting to activate the bilge pumps. There are six persons on board, and we require immediate assistance. The weather is deteriorating with strong winds and heavy rain contributing to our predicament. Repeat, we are in distress and urgently need help.",Distress,formal,water_ingress,False,NONE,"This is the vessel Ocean Explorer, call sign WXYZ123, presently at position 34 degrees 12 minutes North, 76 degrees 45 minutes West. We are experiencing severe water ingress due to a hull breach. The situation is critical with water levels rising rapidly, and we are currently attempting to activate the bilge pumps. There are six persons on board, and we require immediate assistance. The weather is deteriorating with strong winds and heavy rain contributing to our predicament. Repeat, we are in distress and urgently need help.",Ocean Explorer,WXYZ123,null,"34 degrees 12 minutes North, 76 degrees 45 minutes West",strong winds and heavy rain,6,water ingress due to hull breach,null
430,"This is a relay from the fishing vessel Oceanic Pearl, currently at 38°15.4'N, 75°37.2'W. They report smoke rising from the engine room. The crew is attempting to manage the situation with onboard firefighting equipment. Weather conditions are clear, with a slight swell. There are 6 persons on board. No injuries have been reported so far. Requesting any nearby vessels to monitor the situation and stand by for further updates.",Routine,third_party,fire_smoke,False,NONE,"This is a relay from the fishing vessel Oceanic Pearl, currently at 38°15.4'N, 75°37.2'W. They report smoke rising from the engine room. The crew is attempting to manage the situation with onboard firefighting equipment. Weather conditions are clear, with a slight swell. There are 6 persons on board. No injuries have been reported so far. Requesting any nearby vessels to monitor the situation and stand by for further updates.",Oceanic Pearl,NAD1234,123456789,"38°15.4'N, 75°37.2'W","Clear, slight swell",6,Smoke from engine room,None reported
431,"MAYDAY, MAYDAY, MAYDAY. This is the sailing vessel Ocean Breeze, uh... position, uh, 34 degrees 15 minutes North, 118 degrees 30 minutes West. We, um, have a man overboard! It’s my mate, Jake! He... he fell off the port side while we were tacking, and it's kinda rough out here. Winds are about, uh, 20 knots, and the sea’s choppy. We’re trying to turn around but it’s, um, hard to see him. Uh, we’ve got three people on board. Please, need help ASAP! Over.",Distress,informal,person_overboard,True,MAYDAY,"[SIGNAL], [SIGNAL], [SIGNAL]. This is the sailing vessel Ocean Breeze, uh... position, uh, 34 degrees 15 minutes North, 118 degrees 30 minutes West. We, um, have a man overboard! It’s my mate, Jake! He... he fell off the port side while we were tacking, and it's kinda rough out here. Winds are about, uh, 20 knots, and the sea’s choppy. We’re trying to turn around but it’s, um, hard to see him. Uh, we’ve got three people on board. Please, need help ASAP! Over.",Ocean Breeze,,,"34 degrees 15 minutes North, 118 degrees 30 minutes West","winds about 20 knots, choppy seas",3,person overboard,
432,"Uh, MAYDAY, MAYDAY, this is the fishing vessel Sea Whisper, call sign WXYZ123, we’re currently at, uh, 34 degrees 12 minutes north, 76 degrees 30 minutes west. We, um, have a bit of engine trouble, and we're adrift. Not a distress situation, but we could really use a tow back to the harbor. Weather's, uh, pretty decent, just some light rain. Five persons on board. Please respond if you can help. Over.",Distress,informal,tow_request,True,MAYDAY,"Uh, [SIGNAL], [SIGNAL], this is the fishing vessel Sea Whisper, call sign WXYZ123, we’re currently at, uh, 34 degrees 12 minutes north, 76 degrees 30 minutes west. We, um, have a bit of engine trouble, and we're adrift. Not a distress situation, but we could really use a tow back to the harbor. Weather's, uh, pretty decent, just some light rain. Five persons on board. Please respond if you can help. Over.",Sea Whisper,WXYZ123,null,"34 degrees 12 minutes north, 76 degrees 30 minutes west",light rain,5,engine trouble,null
433,"Attention all vessels, this is the M/V Ocean Explorer, call sign ABC123, MMSI 987654321. We are currently at latitude 35.6782 N, longitude 75.1234 W. A fire has erupted in the galley, resulting in substantial smoke filling the accommodation area. We have conducted a fire drill earlier today, but the situation has escalated beyond control. We have 20 persons on board. Weather conditions are calm with visibility at approximately 5 nautical miles. We require immediate assistance and advise nearby vessels to keep a lookout. I repeat, we are in distress and in need of urgent support. Over.",Distress,formal,fire_smoke,False,NONE,"Attention all vessels, this is the M/V Ocean Explorer, call sign ABC123, MMSI 987654321. We are currently at latitude 35.6782 N, longitude 75.1234 W. A fire has erupted in the galley, resulting in substantial smoke filling the accommodation area. We have conducted a fire drill earlier today, but the situation has escalated beyond control. We have 20 persons on board. Weather conditions are calm with visibility at approximately 5 nautical miles. We require immediate assistance and advise nearby vessels to keep a lookout. I repeat, we are in distress and in need of urgent support. Over.",M/V Ocean Explorer,ABC123,987654321,"latitude 35.6782 N, longitude 75.1234 W","calm, visibility 5 nautical miles",20,fire in galley,
434,"This is a relay from the vessel Ocean Explorer. They report engine failure and are adrift in position 34 degrees 12 minutes North, 117 degrees 45 minutes West. The vessel has two persons on board and is experiencing calm seas with a light breeze. No injuries reported. They are currently unable to maneuver and request assistance as soon as possible.",Urgency,third_party,engine_failure,False,NONE,"This is a relay from the vessel Ocean Explorer. They report engine failure and are adrift in position 34 degrees 12 minutes North, 117 degrees 45 minutes West. The vessel has two persons on board and is experiencing calm seas with a light breeze. No injuries reported. They are currently unable to maneuver and request assistance as soon as possible.",Ocean Explorer,OCE1234,123456789,"34 degrees 12 minutes North, 117 degrees 45 minutes West","calm seas, light breeze",2,engine failure,none
435,"SECURITE, SECURITE, SECURITE. This is the fishing vessel Ocean Hunter, calling all stations. I relay a report from the container ship Atlantic Star, currently aground off the eastern shore of Malin Head at position 55° 40.2' N, 6° 20.5' W. The vessel has approximately 15 persons on board, and no injuries have been reported at this time. The weather is overcast with visibility at 4 nautical miles, and local authorities are en route to assist. This incident recalls a similar grounding of the bulk carrier Silver Wave last year, which was resolved without injury. All vessels in the area are advised to navigate with caution. Ocean Hunter out.",Safety,third_party,grounding,True,SECURITE,"[SIGNAL], [SIGNAL], [SIGNAL]. This is the fishing vessel Ocean Hunter, calling all stations. I relay a report from the container ship Atlantic Star, currently aground off the eastern shore of Malin Head at position 55° 40.2' N, 6° 20.5' W. The vessel has approximately 15 persons on board, and no injuries have been reported at this time. The weather is overcast with visibility at 4 nautical miles, and local authorities are en route to assist. This incident recalls a similar grounding of the bulk carrier Silver Wave last year, which was resolved without injury. All vessels in the area are advised to navigate with caution. Ocean Hunter out.",Ocean Hunter,,,"55° 40.2' N, 6° 20.5' W","overcast, visibility 4 nautical miles",15,grounding,none
436,"This is the vessel Ocean Explorer calling all stations. We have a person overboard at position 37 degrees, 45 minutes North, 122 degrees, 30 minutes West. Current weather is clear with 10-knot winds from the southeast. We are experiencing a calm sea state. There are six persons on board. The individual who went overboard is wearing a red life jacket and was last seen approximately 20 meters from the starboard side. We are conducting a search and deploying flotation devices. Request immediate assistance and watch for any sightings.",Distress,formal,person_overboard,False,NONE,"This is the vessel Ocean Explorer calling all stations. We have a person overboard at position 37 degrees, 45 minutes North, 122 degrees, 30 minutes West. Current weather is clear with 10-knot winds from the southeast. We are experiencing a calm sea state. There are six persons on board. The individual who went overboard is wearing a red life jacket and was last seen approximately 20 meters from the starboard side. We are conducting a search and deploying flotation devices. Request immediate assistance and watch for any sightings.",Ocean Explorer,NABC1234,123456789,"37° 45' N, 122° 30' W","clear, 10-knot winds from southeast",6,person overboard,none reported
437,"Uh, this is the fishing vessel Sea Breeze, uh, we’re at, um, around 35 degrees, uh, 20 minutes North, and 75 degrees, um, 30 minutes West. MAYDAY! We’ve, uh, spotted some debris... looks like a, um, sunken boat, uh, just ahead. Visibility's not great, uh, heavy fog and, um, waves are picking up. We, uh, have four persons on board, no injuries here, but, uh, need to warn others about the hazard. Over.",Distress,informal,nav_hazard,True,MAYDAY,"Uh, this is the fishing vessel Sea Breeze, uh, we’re at, um, around 35 degrees, uh, 20 minutes North, and 75 degrees, um, 30 minutes West. [SIGNAL]! We’ve, uh, spotted some debris... looks like a, um, sunken boat, uh, just ahead. Visibility's not great, uh, heavy fog and, um, waves are picking up. We, uh, have four persons on board, no injuries here, but, uh, need to warn others about the hazard. Over.",Sea Breeze,,,35°20'N 75°30'W,"heavy fog, waves picking up",4,nav hazard; debris from a sunken boat,none
438,"This is the fishing vessel Ocean Hunter reporting on behalf of the cargo ship Sea Spirit. They are currently at position 34 degrees 12 minutes North, 118 degrees 25 minutes West. Smoke is visible rising from their aft deck, and they are experiencing a fire in the engine room. The situation appears to be escalating. No injuries have been reported thus far, and the crew is attempting to control the blaze. Weather conditions are calm with a light breeze. Over.",Urgency,third_party,fire_smoke,False,NONE,"This is the fishing vessel Ocean Hunter reporting on behalf of the cargo ship Sea Spirit. They are currently at position 34 degrees 12 minutes North, 118 degrees 25 minutes West. Smoke is visible rising from their aft deck, and they are experiencing a fire in the engine room. The situation appears to be escalating. No injuries have been reported thus far, and the crew is attempting to control the blaze. Weather conditions are calm with a light breeze. Over.",Sea Spirit,,,"34 degrees 12 minutes North, 118 degrees 25 minutes West",calm with a light breeze,,fire in the engine room,no injuries reported
439,"SECURITE, SECURITE, SECURITE. This is the fishing vessel Ocean Hunter, calling all stations. We have a person overboard situation. At 34 degrees 56 minutes north, 75 degrees 32 minutes west, one crew member has fallen into the water during rough conditions with swells of 3 meters and a strong current. We are deploying a lifebuoy and searching the immediate area. All vessels in the vicinity, please keep a lookout. Over.",Safety,third_party,person_overboard,True,SECURITE,"[SIGNAL], [SIGNAL], [SIGNAL]. This is the fishing vessel Ocean Hunter, calling all stations. We have a person overboard situation. At 34 degrees 56 minutes north, 75 degrees 32 minutes west, one crew member has fallen into the water during rough conditions with swells of 3 meters and a strong current. We are deploying a lifebuoy and searching the immediate area. All vessels in the vicinity, please keep a lookout. Over.",Ocean Hunter,,,34°56'N 75°32'W,"rough conditions, swells 3 meters",5,person overboard,
440,"This is a relay from the fishing vessel Ocean King. Earlier today, at approximately 1400 UTC, they reported a collision with the cargo ship Sea Titan near position 34°12'N, 118°45'W. The weather was clear with light winds and calm seas. The Ocean King has sustained minor damage to her starboard side but is still afloat. No injuries were reported on board, which has 5 persons. Sea Titan has also reported no injuries and is currently assessing damage. For reference, a similar incident occurred last month involving the tanker Pacific Star, which was resolved without significant impact on either vessel. Over.",Routine,third_party,collision,False,NONE,"This is a relay from the fishing vessel Ocean King. Earlier today, at approximately 1400 UTC, they reported a collision with the cargo ship Sea Titan near position 34°12'N, 118°45'W. The weather was clear with light winds and calm seas. The Ocean King has sustained minor damage to her starboard side but is still afloat. No injuries were reported on board, which has 5 persons. Sea Titan has also reported no injuries and is currently assessing damage. For reference, a similar incident occurred last month involving the tanker Pacific Star, which was resolved without significant impact on either vessel. Over.",Ocean King,WDC1234,123456789,"34°12'N, 118°45'W",clear with light winds and calm seas,5,collision,none
441,"Attention all stations, this is the vessel Ocean Voyager, call sign ABC123, currently at position 37 degrees 15 minutes North, 122 degrees 45 minutes West. We have a person overboard situation. One crew member has fallen into the water during rough seas with visibility reduced to 200 meters. We are initiating a search pattern and request immediate assistance from nearby vessels. There are 24 persons on board. The conditions are currently choppy with wind gusts of 25 knots. Over.",Urgency,formal,person_overboard,False,NONE,"Attention all stations, this is the vessel Ocean Voyager, call sign ABC123, currently at position 37 degrees 15 minutes North, 122 degrees 45 minutes West. We have a person overboard situation. One crew member has fallen into the water during rough seas with visibility reduced to 200 meters. We are initiating a search pattern and request immediate assistance from nearby vessels. There are 24 persons on board. The conditions are currently choppy with wind gusts of 25 knots. Over.",Ocean Voyager,ABC123,123456789,"37 degrees 15 minutes North, 122 degrees 45 minutes West","rough seas, visibility 200 meters, wind gusts 25 knots",24,person overboard,none
442,"Uh, this is the fishing trawler Sea Breeze, uh, calling anybody out there. PAN PAN! We're, uh, experiencing some kinda steering failure. Currently, we're about 5 nautical miles off the coast, uh, near Point Loma. The weather's, um, kinda choppy, with waves around 3 meters, and, uh, visibility’s not great, maybe, like, 2 miles? We've got 4 people on board, all okay for now, but, um, need some help, like, soon. I can’t, uh, control the wheel properly. Over.",Urgency,informal,steering_failure,True,PAN PAN,"Uh, this is the fishing trawler Sea Breeze, uh, calling anybody out there. [SIGNAL]! We're, uh, experiencing some kinda steering failure. Currently, we're about 5 nautical miles off the coast, uh, near Point Loma. The weather's, um, kinda choppy, with waves around 3 meters, and, uh, visibility’s not great, maybe, like, 2 miles? We've got 4 people on board, all okay for now, but, um, need some help, like, soon. I can’t, uh, control the wheel properly. Over.",Sea Breeze,WDC7421,123456789,5 nautical miles off Point Loma,"choppy with waves around 3 meters, visibility 2 miles",4,steering failure,none
